=== Sweep: 3 datasets × 4 strategies × 4 budgets = 48 runs ===


[1] ring | Baseline | b=0.0
  Epoch 22/25 | Loss 0.7237 | Val 0.8050 | Test 0.7970
  Epoch 23/25 | Loss 0.7151 | Val 0.8050 | Test 0.7920
  Epoch 24/25 | Loss 0.7055 | Val 0.8050 | Test 0.7960
  Epoch 25/25 | Loss 0.7106 | Val 0.8037 | Test 0.7950
  → acc=0.797 | MAD=0.207 | jac=0.5897 | E=722

[28] mnist | Random | b=0.0
  [MNIST] Train: 3200 | Val: 800 | Test: 1000
  [MNIST] Nodos por grafo: ~75 | Features: 3 | Clases: 10
  [device] Usando: cpu
  Epoch 01/25 | Loss 2.2241 | Val 0.0975 | Test 0.1210
  Epoch 02/25 | Loss 1.9067 | Val 0.2412 | Test 0.2110
  Epoch 03/25 | Loss 1.5830 | Val 0.5737 | Test 0.5500
  Epoch 04/25 | Loss 1.3641 | Val 0.6025 | Test 0.5860
  Epoch 05/25 | Loss 1.2309 | Val 0.5813 | Test 0.5870
  Epoch 06/25 | Loss 1.1373 | Val 0.6587 | Test 0.6780
  Epoch 07/25 | Loss 1.0462 | Val 0.6750 | Test 0.6770
  Epoch 08/25 | Loss 0.9658 | Val 0.7362 | Test 0.7180
  Epoch 09/25 | Loss 0.9093 | Val 0.7300 | Test 0.7360
  Epoch 10/25 | Loss 0.8817 | Val 0.7388 | Test 0.7560
  Epoch 11/25 | Loss 0.8150 | Val 0.7612 | Test 0.7710
  Epoch 12/25 | Loss 0.7858 | Val 0.7963 | Test 0.7820
  Epoch 13/25 | Loss 0.7509 | Val 0.8175 | Test 0.8150
  Epoch 14/25 | Loss 0.7355 | Val 0.8075 | Test 0.8130
  Epoch 15/25 | Loss 0.7196 | Val 0.8087 | Test 0.8190
  Epoch 16/25 | Loss 0.6867 | Val 0.8250 | Test 0.8190
  Epoch 17/25 | Loss 0.6592 | Val 0.8200 | Test 0.8210
  Epoch 18/25 | Loss 0.6518 | Val 0.8137 | Test 0.8270
  Epoch 19/25 | Loss 0.6194 | Val 0.8250 | Test 0.8310
  Epoch 20/25 | Loss 0.6267 | Val 0.8213 | Test 0.8270
  Epoch 21/25 | Loss 0.6117 | Val 0.8287 | Test 0.8340
  Epoch 22/25 | Loss 0.6239 | Val 0.8275 | Test 0.8360
  Epoch 23/25 | Loss 0.6068 | Val 0.8287 | Test 0.8350
  Epoch 24/25 | Loss 0.5983 | Val 0.8263 | Test 0.8340
  Epoch 25/25 | Loss 0.6189 | Val 0.8263 | Test 0.8360
  → acc=0.834 | MAD=0.353 | jac=1.0342 | E=670

[29] mnist | Random | b=0.25
  [MNIST] Train: 3200 | Val: 800 | Test: 1000
  [MNIST] Nodos por grafo: ~75 | Features: 3 | Clases: 10
    Aplicando rewiring Random budget=0.25...
  [device] Usando: cpu
  Epoch 01/25 | Loss 2.1619 | Val 0.0988 | Test 0.1040
  Epoch 02/25 | Loss 1.7367 | Val 0.1475 | Test 0.1600
  Epoch 03/25 | Loss 1.4891 | Val 0.4900 | Test 0.4760
  Epoch 04/25 | Loss 1.3827 | Val 0.4688 | Test 0.4590
  Epoch 05/25 | Loss 1.2868 | Val 0.5337 | Test 0.5400
  Epoch 06/25 | Loss 1.1926 | Val 0.5737 | Test 0.5700
  Epoch 07/25 | Loss 1.1465 | Val 0.5200 | Test 0.5290
  Epoch 08/25 | Loss 1.0965 | Val 0.5750 | Test 0.5770
  Epoch 09/25 | Loss 1.0581 | Val 0.6238 | Test 0.6350
  Epoch 10/25 | Loss 1.0145 | Val 0.6512 | Test 0.6330
  Epoch 11/25 | Loss 0.9592 | Val 0.6550 | Test 0.6450
  Epoch 12/25 | Loss 0.9631 | Val 0.6512 | Test 0.6690
  Epoch 13/25 | Loss 0.9206 | Val 0.6500 | Test 0.6620
  Epoch 14/25 | Loss 0.8746 | Val 0.6975 | Test 0.6950
  Epoch 15/25 | Loss 0.8603 | Val 0.6950 | Test 0.6920
  Epoch 16/25 | Loss 0.8443 | Val 0.6950 | Test 0.6990
  Epoch 17/25 | Loss 0.8384 | Val 0.7087 | Test 0.7130
  Epoch 18/25 | Loss 0.8185 | Val 0.7100 | Test 0.7090
  Epoch 19/25 | Loss 0.8038 | Val 0.7050 | Test 0.7180
  Epoch 20/25 | Loss 0.7999 | Val 0.7163 | Test 0.7150
  Epoch 21/25 | Loss 0.7783 | Val 0.7212 | Test 0.7260
  Epoch 22/25 | Loss 0.7805 | Val 0.7113 | Test 0.7230
  Epoch 23/25 | Loss 0.7798 | Val 0.7188 | Test 0.7240
  Epoch 24/25 | Loss 0.7768 | Val 0.7150 | Test 0.7330
  Epoch 25/25 | Loss 0.7907 | Val 0.7212 | Test 0.7250
  → acc=0.726 | MAD=0.107 | jac=0.8337 | E=843

[30] mnist | Random | b=0.75
  [MNIST] Train: 3200 | Val: 800 | Test: 1000
  [MNIST] Nodos por grafo: ~75 | Features: 3 | Clases: 10
    Aplicando rewiring Random budget=0.75...
  [device] Usando: cpu
  Epoch 01/25 | Loss 2.1764 | Val 0.0887 | Test 0.1010
  Epoch 02/25 | Loss 1.9715 | Val 0.0887 | Test 0.1020
  Epoch 03/25 | Loss 1.8062 | Val 0.3125 | Test 0.3110
  Epoch 04/25 | Loss 1.6605 | Val 0.3538 | Test 0.3440
  Epoch 05/25 | Loss 1.4505 | Val 0.4750 | Test 0.4830
  Epoch 06/25 | Loss 1.3243 | Val 0.5600 | Test 0.5840
  Epoch 07/25 | Loss 1.1873 | Val 0.6200 | Test 0.6280
  Epoch 08/25 | Loss 1.1318 | Val 0.6262 | Test 0.6560
  Epoch 09/25 | Loss 1.0572 | Val 0.6500 | Test 0.6440
  Epoch 10/25 | Loss 0.9963 | Val 0.6587 | Test 0.6780
  Epoch 11/25 | Loss 0.9776 | Val 0.6737 | Test 0.6680
  Epoch 12/25 | Loss 0.9678 | Val 0.6900 | Test 0.6770
  Epoch 13/25 | Loss 0.8984 | Val 0.6725 | Test 0.6930
  Epoch 14/25 | Loss 0.8759 | Val 0.6825 | Test 0.7030
  Epoch 15/25 | Loss 0.8750 | Val 0.7125 | Test 0.7180
  Epoch 16/25 | Loss 0.8563 | Val 0.7000 | Test 0.7160
  Epoch 17/25 | Loss 0.8266 | Val 0.7087 | Test 0.7300
  Epoch 18/25 | Loss 0.8141 | Val 0.7288 | Test 0.7340
  Epoch 19/25 | Loss 0.8064 | Val 0.7375 | Test 0.7270
  Epoch 20/25 | Loss 0.8124 | Val 0.7212 | Test 0.7270
  Epoch 21/25 | Loss 0.7943 | Val 0.7325 | Test 0.7230
  Epoch 22/25 | Loss 0.7954 | Val 0.7362 | Test 0.7380
  Epoch 23/25 | Loss 0.7924 | Val 0.7312 | Test 0.7360
  Epoch 24/25 | Loss 0.7608 | Val 0.7350 | Test 0.7330
  Epoch 25/25 | Loss 0.7690 | Val 0.7325 | Test 0.7280
  → acc=0.727 | MAD=0.001 | jac=0.8469 | E=1368

[31] mnist | Random | b=1.5
  [MNIST] Train: 3200 | Val: 800 | Test: 1000
  [MNIST] Nodos por grafo: ~75 | Features: 3 | Clases: 10
    Aplicando rewiring Random budget=1.5...
  [device] Usando: cpu
  Epoch 01/25 | Loss 2.2484 | Val 0.1000 | Test 0.1260
  Epoch 02/25 | Loss 2.0989 | Val 0.1000 | Test 0.1260
